fold,dataset,matcher,precision,recall,f1,abstain_rate,n_false_on_unmatched,runtime_s
2,D_W_15K_V1,value_overlap,0.6376967867155489,0.2816190476190476,0.39069828896082454,0.5583809523809524,0,1.3249088339944137
2,D_W_15K_V1,pyjedai_ngram,0.5227817745803357,0.22838095238095238,0.31788957380526284,0.5631428571428572,0,64.5814295829914
2,D_W_15K_V1,structural_propagation,0.7366332892499527,0.37133333333333335,0.4937630595833597,0.49590476190476196,0,5.6298119999992196
2,D_W_15K_V1,paris,0.9425879581922567,0.6098095238095238,0.7405308506332042,0.35304761904761905,0,15.494308415989508
2,D_Y_15K_V1,value_overlap,0.8254637436762225,0.4661904761904762,0.595861229458308,0.4352380952380952,0,0.5911285000038333
2,D_Y_15K_V1,pyjedai_ngram,0.7560283687943262,0.30457142857142855,0.4342158859470468,0.5971428571428572,0,51.32626462500775
2,D_Y_15K_V1,structural_propagation,0.652542372881356,0.4033333333333333,0.4985285462036492,0.38190476190476186,0,3.310877875002916
2,D_Y_15K_V1,paris,0.984712132711699,0.8649523809523809,0.9209552299345941,0.12161904761904763,0,7.473013875001925
3,EN_FR_15K_V1,value_overlap,0.6466268359472243,0.49476190476190474,0.560591345635049,0.23485714285714288,0,0.3959726250031963
3,EN_FR_15K_V1,pyjedai_ngram,0.5214406011141339,0.38333333333333336,0.4418464240627916,0.2648571428571429,0,60.88716829199984
3,EN_FR_15K_V1,structural_propagation,0.6389559113840755,0.2774285714285714,0.38687827877017067,0.5658095238095238,0,7.210311542003183
3,EN_FR_15K_V1,paris,0.9697977647684939,0.6941904761904761,0.8091696269982238,0.2841904761904762,0,11.695799833003548
3,EN_FR_15K_V2,value_overlap,0.6275357499168607,0.5391428571428571,0.5799907791609037,0.1408571428571429,0,0.9102202500071144
3,EN_FR_15K_V2,pyjedai_ngram,0.5635889534194619,0.45285714285714285,0.5021914770026932,0.19647619047619047,0,100.73965199998929
3,EN_FR_15K_V2,structural_propagation,0.7869681224547114,0.5337142857142857,0.6360592474887917,0.32180952380952377,0,8.467481792002218
3,EN_FR_15K_V2,paris,0.9655712050078247,0.8226666666666667,0.8884089272858171,0.14800000000000002,0,11.807898375001969
3,EN_DE_15K_V1,value_overlap,0.7145966709346991,0.5315238095238095,0.6096122337520481,0.2561904761904762,0,0.5565828329999931
3,EN_DE_15K_V1,pyjedai_ngram,0.38916500994035785,0.29828571428571427,0.33771835238300624,0.23352380952380958,0,240.88473979200353
3,EN_DE_15K_V1,structural_propagation,0.8459704339532665,0.5068571428571429,0.63391102376273,0.4008571428571429,0,5.334810625005048
3,EN_DE_15K_V1,paris,0.9836567926455567,0.8254285714285714,0.8976231163585521,0.1608571428571428,0,13.487757541995961
3,D_W_15K_V1,value_overlap,0.6441296415539816,0.2858095238095238,0.3959364074147371,0.5562857142857143,0,0.6041420830006246
3,D_W_15K_V1,pyjedai_ngram,0.5291106845809341,0.2362857142857143,0.32668378431759826,0.5534285714285714,0,63.84780212500482
3,D_W_15K_V1,structural_propagation,0.7172332481823541,0.3476190476190476,0.46827891461928284,0.5153333333333333,0,4.881424375009374
3,D_W_15K_V1,paris,0.9458278724333771,0.6185714285714285,0.7479702884781483,0.346,0,16.131631875003222
3,D_Y_15K_V1,value_overlap,0.8260355029585799,0.4653333333333333,0.5953091684434968,0.43666666666666665,0,0.5979998330003582
3,D_Y_15K_V1,pyjedai_ngram,0.7631893053234662,0.30447619047619046,0.43529171488869217,0.601047619047619,0,55.3838351250015
3,D_Y_15K_V1,structural_propagation,0.6480763495377274,0.4139047619047619,0.5051726142043473,0.3613333333333333,0,3.213245042003109
3,D_Y_15K_V1,paris,0.9851731601731601,0.8669523809523809,0.922289766970618,0.12,0,8.733709624997573
4,EN_FR_15K_V1,value_overlap,0.6409905425584869,0.49057142857142855,0.555783340526543,0.2346666666666667,0,1.17885587499768
4,EN_FR_15K_V1,pyjedai_ngram,0.5260206077996609,0.3840952380952381,0.44399185336048874,0.26980952380952383,0,69.47061870800098
4,EN_FR_15K_V1,structural_propagation,0.6265728300277245,0.2798095238095238,0.3868589110540523,0.5534285714285714,0,6.68493929199758
4,EN_FR_15K_V1,paris,0.9662758529837966,0.6985714285714286,0.8109004477364435,0.2770476190476191,0,20.427918582994607
4,EN_FR_15K_V2,value_overlap,0.6253742930021071,0.537047619047619,0.5778552031562227,0.14123809523809527,0,0.37651900001219474
4,EN_FR_15K_V2,pyjedai_ngram,0.5685152057245081,0.454,0.5048451151707705,0.2014285714285714,0,103.36167979199672
4,EN_FR_15K_V2,structural_propagation,0.7668357283741899,0.5183809523809524,0.6185930219343108,0.32399999999999995,0,8.045975250002812
4,EN_FR_15K_V2,paris,0.9680098776518128,0.8213333333333334,0.8886599000463703,0.1515238095238095,0,11.716054917007568
4,EN_DE_15K_V1,value_overlap,0.7205190179366493,0.5394285714285715,0.6169598605740428,0.2513333333333333,0,0.5549905410007341
4,EN_DE_15K_V1,pyjedai_ngram,0.3998507091316248,0.3060952380952381,0.3467472219225375,0.2344761904761905,0,243.6372239170014
4,EN_DE_15K_V1,structural_propagation,0.849499920622321,0.5096190476190476,0.6370617298648729,0.40009523809523806,0,5.846997832995839
4,EN_DE_15K_V1,paris,0.9818963566417741,0.8264761904761905,0.897507498190092,0.15828571428571425,0,16.464440541996737
4,D_W_15K_V1,value_overlap,0.6417553769280904,0.2813333333333333,0.39118056015361186,0.5616190476190477,0,1.5469987079995917
4,D_W_15K_V1,pyjedai_ngram,0.5326939843068875,0.23276190476190475,0.323966065747614,0.563047619047619,0,69.80207004099793
4,D_W_15K_V1,structural_propagation,0.7480553974577879,0.37552380952380954,0.500031703760066,0.498,0,5.189103291995707
4,D_W_15K_V1,paris,0.9450820862995787,0.6195238095238095,0.7484323764597596,0.3444761904761905,0,20.136488834003103
4,D_Y_15K_V1,value_overlap,0.8191398946115928,0.45895238095238095,0.5882927424769578,0.4397142857142857,0,1.4297092500055442
4,D_Y_15K_V1,pyjedai_ngram,0.7603166986564299,0.3018095238095238,0.43209708208344694,0.603047619047619,0,53.19074795799679
4,D_Y_15K_V1,structural_propagation,0.6354679802955665,0.3931428571428571,0.4857613556130855,0.3813333333333333,0,3.199409917011508
4,D_Y_15K_V1,paris,0.9849485652409312,0.8662857142857143,0.9218140359766911,0.12047619047619051,0,7.416030000007595
5,EN_FR_15K_V1,value_overlap,0.645225381845275,0.4948571428571429,0.5601250471621839,0.23304761904761906,0,0.4029610839934321
5,EN_FR_15K_V1,pyjedai_ngram,0.5215081627364602,0.38333333333333336,0.4418706773520694,0.26495238095238094,0,70.31640595800127
5,EN_FR_15K_V1,structural_propagation,0.6410698878343399,0.28304761904761905,0.3927061310782241,0.5584761904761905,0,6.9150017500069225
5,EN_FR_15K_V1,paris,0.9691022410820846,0.696,0.810154647746799,0.28180952380952384,0,13.599667416987359
5,EN_FR_15K_V2,value_overlap,0.6211063075047112,0.5336190476190477,0.5740484606321398,0.1408571428571429,0,0.3933404999988852
5,EN_FR_15K_V2,pyjedai_ngram,0.5661053385883196,0.4514285714285714,0.5023048799872833,0.20257142857142862,0,113.32214070799819
5,EN_FR_15K_V2,structural_propagation,0.7704213241616509,0.512,0.6151733607964298,0.3354285714285714,0,10.441731750004692
5,EN_FR_15K_V2,paris,0.9685463940687487,0.8211428571428572,0.8887743531594682,0.1521904761904762,0,12.694950875011273
