dataset,matcher,error_class,n,share
D_Y_15K_V1,pyjedai_ngram,abstained,1804,0.1718095238095238
D_Y_15K_V1,pyjedai_ngram,wrong_candidate,794,0.07561904761904761
D_Y_15K_V1,structural_propagation,correct,4302,0.4097142857142857
D_Y_15K_V1,structural_propagation,false_on_unmatched,0,0.0
D_Y_15K_V1,structural_propagation,no_signal,0,0.0
D_Y_15K_V1,structural_propagation,structurally_unreachable,1523,0.14504761904761904
D_Y_15K_V1,structural_propagation,no_shared_literal,0,0.0
D_Y_15K_V1,structural_propagation,abstained,2565,0.24428571428571427
D_Y_15K_V1,structural_propagation,wrong_candidate,2110,0.20095238095238097
D_Y_15K_V1,paris,correct,9049,0.8618095238095238
D_Y_15K_V1,paris,false_on_unmatched,0,0.0
D_Y_15K_V1,paris,no_signal,0,0.0
D_Y_15K_V1,paris,structurally_unreachable,466,0.04438095238095238
D_Y_15K_V1,paris,no_shared_literal,0,0.0
D_Y_15K_V1,paris,abstained,895,0.08523809523809524
D_Y_15K_V1,paris,wrong_candidate,90,0.008571428571428572
EN_FR_100K_V1,value_overlap,correct,27859,0.3979857142857143
EN_FR_100K_V1,value_overlap,false_on_unmatched,0,0.0
EN_FR_100K_V1,value_overlap,no_signal,0,0.0
EN_FR_100K_V1,value_overlap,structurally_unreachable,0,0.0
EN_FR_100K_V1,value_overlap,no_shared_literal,29100,0.4157142857142857
EN_FR_100K_V1,value_overlap,abstained,1433,0.02047142857142857
EN_FR_100K_V1,value_overlap,wrong_candidate,11608,0.16582857142857144
EN_FR_100K_V1,structural_propagation,correct,16415,0.2345
EN_FR_100K_V1,structural_propagation,false_on_unmatched,0,0.0
EN_FR_100K_V1,structural_propagation,no_signal,0,0.0
EN_FR_100K_V1,structural_propagation,structurally_unreachable,5517,0.07881428571428571
EN_FR_100K_V1,structural_propagation,no_shared_literal,0,0.0
EN_FR_100K_V1,structural_propagation,abstained,37850,0.5407142857142857
EN_FR_100K_V1,structural_propagation,wrong_candidate,10218,0.14597142857142859
EN_FR_100K_V1,paris,correct,42855,0.6122142857142857
EN_FR_100K_V1,paris,false_on_unmatched,0,0.0
EN_FR_100K_V1,paris,no_signal,0,0.0
EN_FR_100K_V1,paris,structurally_unreachable,4129,0.05898571428571429
EN_FR_100K_V1,paris,no_shared_literal,0,0.0
EN_FR_100K_V1,paris,abstained,20743,0.29632857142857144
EN_FR_100K_V1,paris,wrong_candidate,2273,0.032471428571428575
