dataset,matcher,threshold,precision,recall,f1,coverage,abstain_rate,n_predicted,n_gold,n_false_on_unmatched
EN_DE_15K_V1_NM,value_overlap,0.0,0.5178351783517835,0.5474642392717816,0.5322376738305942,0.7094240837696335,0.2905759162303665,813,769,205
EN_DE_15K_V1_NM,value_overlap,0.1,0.5178351783517835,0.5474642392717816,0.5322376738305942,0.7094240837696335,0.2905759162303665,813,769,205
EN_DE_15K_V1_NM,value_overlap,0.2,0.5191122071516646,0.5474642392717816,0.5329113924050632,0.7076788830715532,0.29232111692844676,811,769,203
EN_DE_15K_V1_NM,value_overlap,0.3,0.5297092288242731,0.5448634590377113,0.5371794871794872,0.6902268760907504,0.3097731239092496,791,769,191
EN_DE_15K_V1_NM,value_overlap,0.4,0.5481682496607869,0.5253576072821846,0.5365205843293492,0.6431064572425829,0.35689354275741714,737,769,164
EN_DE_15K_V1_NM,value_overlap,0.5,0.5798722044728435,0.4720416124837451,0.5204301075268818,0.5462478184991274,0.4537521815008726,626,769,127
EN_DE_15K_V1_NM,value_overlap,0.6,0.6030368763557483,0.36150845253576075,0.4520325203252032,0.40226876090750435,0.5977312390924956,461,769,83
EN_DE_15K_V1_NM,value_overlap,0.7,0.6396396396396397,0.27698309492847856,0.3865698729582578,0.2905759162303665,0.7094240837696335,333,769,55
EN_DE_15K_V1_NM,value_overlap,0.8,0.6751269035532995,0.1729518855656697,0.27536231884057977,0.1719022687609075,0.8280977312390925,197,769,25
EN_DE_15K_V1_NM,value_overlap,0.9,0.5242718446601942,0.07022106631989597,0.1238532110091743,0.08987783595113438,0.9101221640488656,103,769,22
EN_DE_15K_V1_NM,structural_propagation,0.0,0.17827868852459017,0.22626788036410922,0.1994269340974212,0.8516579406631762,0.14834205933682376,976,769,317
EN_DE_15K_V1_NM,structural_propagation,0.1,0.2725490196078431,0.18075422626788037,0.21735731039874903,0.44502617801047123,0.5549738219895288,510,769,163
EN_DE_15K_V1_NM,structural_propagation,0.2,0.3178082191780822,0.1508452535760728,0.20458553791887124,0.31849912739965097,0.6815008726003491,365,769,111
EN_DE_15K_V1_NM,structural_propagation,0.3,0.43119266055045874,0.1222366710013004,0.1904761904761905,0.19022687609075042,0.8097731239092496,218,769,61
EN_DE_15K_V1_NM,structural_propagation,0.4,0.4759036144578313,0.10273081924577374,0.16898395721925136,0.14485165794066318,0.8551483420593369,166,769,43
EN_DE_15K_V1_NM,structural_propagation,0.5,0.4621212121212121,0.07932379713914174,0.13540510543840176,0.11518324607329843,0.8848167539267016,132,769,33
EN_DE_15K_V1_NM,structural_propagation,0.6,0.49504950495049505,0.06501950585175553,0.1149425287356322,0.0881326352530541,0.9118673647469459,101,769,21
EN_DE_15K_V1_NM,structural_propagation,0.7,0.4852941176470588,0.04291287386215865,0.07885304659498209,0.059336823734729496,0.9406631762652705,68,769,14
EN_DE_15K_V1_NM,structural_propagation,0.8,0.6052631578947368,0.02990897269180754,0.057001239157372985,0.03315881326352531,0.9668411867364747,38,769,3
