dataset,metric,pandas,spark,abs_diff,match
D_Y_15K_V1,kg2.total_degree.gini,0.36466780288810474,0.36466780288810474,0.0,True
D_Y_15K_V1,kg1.share_isolated,0.0,0.0,0.0,True
D_Y_15K_V1,kg2.share_isolated,0.0,0.0,0.0,True
D_Y_15K_V1,kg1.rel.n_properties,165.0,165.0,0.0,True
D_Y_15K_V1,kg2.rel.n_properties,28.0,28.0,0.0,True
D_Y_15K_V1,kg1.rel.top10_concentration,0.7577498266811924,0.7577498266811924,0.0,True
D_Y_15K_V1,kg2.rel.top10_concentration,0.9558900818379759,0.9558900818379759,0.0,True
EN_FR_100K_V1,kg1.n_entities,100000.0,100000.0,0.0,True
EN_FR_100K_V1,kg2.n_entities,100000.0,100000.0,0.0,True
EN_FR_100K_V1,kg1.n_relations,400.0,400.0,0.0,True
EN_FR_100K_V1,kg2.n_relations,300.0,300.0,0.0,True
EN_FR_100K_V1,kg1.n_attributes,465.0,465.0,0.0,True
EN_FR_100K_V1,kg2.n_attributes,518.0,518.0,0.0,True
EN_FR_100K_V1,kg1.n_literals,145105.0,145105.0,0.0,True
EN_FR_100K_V1,kg2.n_literals,157794.0,157794.0,0.0,True
EN_FR_100K_V1,kg1.n_rel_triples,309607.0,309607.0,0.0,True
EN_FR_100K_V1,kg2.n_rel_triples,258285.0,258285.0,0.0,True
EN_FR_100K_V1,kg1.n_attr_triples,384248.0,384248.0,0.0,True
EN_FR_100K_V1,kg2.n_attr_triples,340725.0,340725.0,0.0,True
EN_FR_100K_V1,kg1.attr_to_rel_ratio,1.2410830504478259,1.2410830504478259,0.0,True
EN_FR_100K_V1,kg2.attr_to_rel_ratio,1.3191822986236135,1.3191822986236135,0.0,True
EN_FR_100K_V1,alignments.n,100000.0,100000.0,0.0,True
EN_FR_100K_V1,kg1.total_degree.mean,6.19214,6.19214,0.0,True
EN_FR_100K_V1,kg2.total_degree.mean,5.1657,5.1657,0.0,True
EN_FR_100K_V1,kg1.total_degree.median,3.0,3.0,0.0,True
EN_FR_100K_V1,kg2.total_degree.median,3.0,3.0,0.0,True
