matcher,dataset,split,n_gold,n_unmatched,n_predicted,n_correct,n_false_on_unmatched,precision,recall,f1,hits_at_1,coverage,abstain_rate,runtime_s
paris,D_Y_100K_V2,test,70000,0,66879,66640,0,0.9964263819734147,0.952,0.9737067044616048,0.952,0.9554142857142857,0.04458571428571434,100.27068595799938
value_overlap,D_Y_15K_V1,test,10500,0,5924,4875,0,0.8229237002025659,0.4642857142857143,0.5936434486117876,0.4642857142857143,0.5641904761904762,0.43580952380952376,0.7350095000001602
structural_propagation,D_Y_15K_V1,test,10500,0,6691,4302,0,0.6429532207442834,0.4097142857142857,0.500494444767611,0.4097142857142857,0.6372380952380953,0.36276190476190473,3.5128767500063987
paris,D_Y_15K_V1,test,10500,0,9193,9070,0,0.9866202545414989,0.8638095238095238,0.9211394911897628,0.8638095238095238,0.8755238095238095,0.12447619047619052,7.839172417006921
value_overlap,D_Y_15K_V2,test,10500,0,4732,4161,0,0.8793322062552832,0.3962857142857143,0.5463497899159664,0.3962857142857143,0.45066666666666666,0.5493333333333333,0.48368708299676655
structural_propagation,D_Y_15K_V2,test,10500,0,9830,9652,0,0.9818921668362157,0.9192380952380952,0.9495327102803738,0.9192380952380952,0.9361904761904762,0.06380952380952376,3.345125250001729
paris,D_Y_15K_V2,test,10500,0,10208,10154,0,0.9947100313479624,0.967047619047619,0.9806837937029168,0.967047619047619,0.9721904761904762,0.02780952380952384,11.724342708999757
value_overlap,EN_DE_100K_V1,test,70000,0,58736,29359,0,0.4998467719967311,0.41941428571428574,0.45611173253790704,0.41941428571428574,0.8390857142857143,0.16091428571428568,6.294863416005683
structural_propagation,EN_DE_100K_V1,test,70000,0,33109,25246,0,0.7625117037663475,0.36065714285714284,0.48969537091815457,0.36065714285714284,0.4729857142857143,0.5270142857142857,114.41312325000035
paris,EN_DE_100K_V1,test,70000,0,55656,53800,0,0.96665229265488,0.7685714285714286,0.8563061055580314,0.7685714285714286,0.7950857142857143,0.20491428571428572,86.18696641699353
value_overlap,EN_DE_100K_V2,test,70000,0,57957,24687,0,0.4259537243128526,0.3526714285714286,0.38586400118789904,0.3526714285714286,0.8279571428571428,0.17204285714285716,6.042830166996282
structural_propagation,EN_DE_100K_V2,test,70000,0,46963,38340,0,0.8163873687796777,0.5477142857142857,0.6555919393312416,0.5477142857142857,0.6709,0.32909999999999995,206.7579041249992
paris,EN_DE_100K_V2,test,70000,0,59607,58135,0,0.9753049138523999,0.8305,0.8970966074363268,0.8305,0.8515285714285714,0.1484714285714286,105.13392887500231
value_overlap,EN_DE_15K_V1,test,10500,0,7876,5611,0,0.7124174707973591,0.5343809523809524,0.6106878537222463,0.5343809523809524,0.7500952380952381,0.24990476190476185,0.5107273329995223
structural_propagation,EN_DE_15K_V1,test,10500,0,6269,5347,0,0.8529271016111023,0.5092380952380953,0.637724372353748,0.5092380952380953,0.597047619047619,0.40295238095238095,5.722778625000501
paris,EN_DE_15K_V1,test,10500,0,8878,8725,0,0.9827663888263123,0.830952380952381,0.9005057281453194,0.830952380952381,0.8455238095238096,0.15447619047619043,13.691725624994433
value_overlap,EN_DE_15K_V2,test,10500,0,8166,5330,0,0.6527063433749694,0.5076190476190476,0.5710918247080253,0.5076190476190476,0.7777142857142857,0.2222857142857143,0.5279254169945489
structural_propagation,EN_DE_15K_V2,test,10500,0,7466,6547,0,0.8769086525582641,0.6235238095238095,0.7288211065345652,0.6235238095238095,0.711047619047619,0.28895238095238096,8.824195041997882
paris,EN_DE_15K_V2,test,10500,0,9568,9464,0,0.9891304347826086,0.9013333333333333,0.9431931433127367,0.9013333333333333,0.9112380952380953,0.08876190476190471,15.45480816700001
value_overlap,EN_FR_100K_V1,test,70000,0,54307,27859,0,0.5129909588082567,0.3979857142857143,0.4482289814732879,0.3979857142857143,0.7758142857142857,0.22418571428571432,4.917668542002502
structural_propagation,EN_FR_100K_V1,test,70000,0,27215,16415,0,0.6031600220466654,0.2345,0.3377050866635807,0.2345,0.3887857142857143,0.6112142857142857,110.39913112499926
paris,EN_FR_100K_V1,test,70000,0,45328,42970,0,0.947979174020473,0.6138571428571429,0.7451789678135406,0.6138571428571429,0.6475428571428572,0.3524571428571428,58.93864875000145
value_overlap,EN_FR_100K_V2,test,70000,0,60098,30130,0,0.5013477985956272,0.43042857142857144,0.4631892880751434,0.43042857142857144,0.8585428571428572,0.14145714285714284,5.00725745800446
structural_propagation,EN_FR_100K_V2,test,70000,0,42074,30730,0,0.7303798070067025,0.439,0.5483876724307154,0.439,0.6010571428571428,0.39894285714285715,243.77894154100068
paris,EN_FR_100K_V2,test,70000,0,56682,54378,0,0.9593521752937441,0.7768285714285714,0.8584960767907043,0.7768285714285714,0.8097428571428571,0.1902571428571429,127.18833662500401
value_overlap,EN_FR_15K_V1,test,10500,0,8027,5190,0,0.6465678335617292,0.4942857142857143,0.5602633993630917,0.4942857142857143,0.7644761904761905,0.23552380952380947,0.4078973329960718
structural_propagation,EN_FR_15K_V1,test,10500,0,4610,2946,0,0.6390455531453362,0.2805714285714286,0.3899404367968233,0.2805714285714286,0.439047619047619,0.560952380952381,5.618383417000587
paris,EN_FR_15K_V1,test,10500,0,7540,7302,0,0.9684350132625995,0.6954285714285714,0.8095343680709534,0.6954285714285714,0.7180952380952381,0.2819047619047619,14.190164040999662
value_overlap,EN_FR_15K_V2,test,10500,0,9029,5706,0,0.6319636726104774,0.5434285714285715,0.5843617184699678,0.5434285714285715,0.859904761904762,0.14009523809523805,0.6089626670000143
structural_propagation,EN_FR_15K_V2,test,10500,0,7159,5639,0,0.7876798435535689,0.537047619047619,0.6386545104479302,0.537047619047619,0.6818095238095238,0.31819047619047625,9.812005125000724
paris,EN_FR_15K_V2,test,10500,0,8934,8659,0,0.9692187150212671,0.8246666666666667,0.8911186580220234,0.8246666666666667,0.8508571428571429,0.14914285714285713,11.912001666001743
