dataset,stage,component,backend,runtime_s
EN_DE_100K_V2,metric,aligned_consistency,pandas,0.3624435829988215
EN_DE_100K_V2,metric,alignment_metrics,pandas,0.14149066599929938
EN_DE_100K_V2,metric,alignment_reachability,pandas,3.2926170419959817
EN_DE_100K_V2,matcher,value_overlap,pandas,6.042830166996282
EN_DE_100K_V2,matcher,structural_propagation,pandas,206.7579041249992
EN_DE_100K_V2,matcher,paris,pandas,105.13392887500231
EN_DE_15K_V1,metric,basic_stats,pandas,0.03739604100701399
EN_DE_15K_V1,metric,degree_distribution,pandas,0.0231722919997992
EN_DE_15K_V1,metric,property_distribution,pandas,0.012248917002580129
EN_DE_15K_V1,metric,connectivity,pandas,0.19559916599973803
EN_DE_15K_V1,metric,long_tail,pandas,0.013375084003200755
EN_DE_15K_V1,metric,attribute_completeness,pandas,0.10875062499690102
EN_DE_15K_V1,metric,type_distribution,pandas,0.0024717919950489886
EN_DE_15K_V1,metric,schema_heterogeneity,pandas,0.016345750002074055
EN_DE_15K_V1,metric,aligned_consistency,pandas,0.15787454200471984
EN_DE_15K_V1,metric,alignment_metrics,pandas,0.013767874996119644
EN_DE_15K_V1,metric,alignment_reachability,pandas,0.10830962500040187
EN_DE_15K_V1,matcher,value_overlap,pandas,0.5107273329995223
EN_DE_15K_V1,matcher,structural_propagation,pandas,5.722778625000501
EN_DE_15K_V1,matcher,paris,pandas,13.691725624994433
EN_DE_15K_V2,metric,basic_stats,pandas,0.03901800000312505
EN_DE_15K_V2,metric,degree_distribution,pandas,0.02766120799788041
EN_DE_15K_V2,metric,property_distribution,pandas,0.013520082997274585
EN_DE_15K_V2,metric,connectivity,pandas,0.778381875003106
EN_DE_15K_V2,metric,long_tail,pandas,0.014335833002405707
EN_DE_15K_V2,metric,attribute_completeness,pandas,0.11469737500010524
EN_DE_15K_V2,metric,type_distribution,pandas,0.003980417001002934
EN_DE_15K_V2,metric,schema_heterogeneity,pandas,0.019329583999933675
EN_DE_15K_V2,metric,aligned_consistency,pandas,0.16118654100137064
EN_DE_15K_V2,metric,alignment_metrics,pandas,0.013779499997326639
EN_DE_15K_V2,metric,alignment_reachability,pandas,0.1554782079983852
EN_DE_15K_V2,matcher,value_overlap,pandas,0.5279254169945489
EN_DE_15K_V2,matcher,structural_propagation,pandas,8.824195041997882
EN_DE_15K_V2,matcher,paris,pandas,15.45480816700001
EN_FR_100K_V1,metric,basic_stats,pandas,0.17713562500284752
EN_FR_100K_V1,metric,degree_distribution,pandas,0.1631672500006971
EN_FR_100K_V1,metric,property_distribution,pandas,0.06608941699960269
EN_FR_100K_V1,metric,connectivity,pandas,2.498686250000901
EN_FR_100K_V1,metric,long_tail,pandas,0.09935570800007554
EN_FR_100K_V1,metric,attribute_completeness,pandas,0.5078887919953559
EN_FR_100K_V1,metric,type_distribution,pandas,0.012857207999331877
EN_FR_100K_V1,metric,schema_heterogeneity,pandas,0.0908911669976078
EN_FR_100K_V1,metric,aligned_consistency,pandas,0.27228895800362807
