dataset,matcher,error_class,n,share
D_W_15K_V1_NM,paris,structurally_unreachable,800,0.1018978474079735
D_W_15K_V1_NM,paris,no_shared_literal,0,0.0
D_W_15K_V1_NM,paris,abstained,1807,0.23016176283276016
D_W_15K_V1_NM,paris,wrong_candidate,251,0.03197044962425169
D_Y_15K_V1_NM,value_overlap,correct,4454,0.5673162654438925
D_Y_15K_V1_NM,value_overlap,false_on_unmatched,602,0.07667813017450006
D_Y_15K_V1_NM,value_overlap,no_signal,41,0.005222264679658643
D_Y_15K_V1_NM,value_overlap,structurally_unreachable,0,0.0
D_Y_15K_V1_NM,value_overlap,no_shared_literal,2355,0.29996178830722203
D_Y_15K_V1_NM,value_overlap,abstained,112,0.01426569863711629
D_Y_15K_V1_NM,value_overlap,wrong_candidate,287,0.036555852757610495
D_Y_15K_V1_NM,pyjedai_ngram,correct,3774,0.480703095147115
D_Y_15K_V1_NM,pyjedai_ngram,false_on_unmatched,439,0.05591644376512546
D_Y_15K_V1_NM,pyjedai_ngram,no_signal,41,0.005222264679658643
D_Y_15K_V1_NM,pyjedai_ngram,structurally_unreachable,0,0.0
D_Y_15K_V1_NM,pyjedai_ngram,no_shared_literal,2307,0.2938479174627436
D_Y_15K_V1_NM,pyjedai_ngram,abstained,927,0.1180741306839893
D_Y_15K_V1_NM,pyjedai_ngram,wrong_candidate,363,0.04623614826136798
D_Y_15K_V1_NM,structural_propagation,correct,2268,0.28888039740160487
D_Y_15K_V1_NM,structural_propagation,false_on_unmatched,1024,0.1304292446822061
D_Y_15K_V1_NM,structural_propagation,no_signal,41,0.005222264679658643
D_Y_15K_V1_NM,structural_propagation,structurally_unreachable,2005,0.2553814800662336
D_Y_15K_V1_NM,structural_propagation,no_shared_literal,0,0.0
D_Y_15K_V1_NM,structural_propagation,abstained,1372,0.17475480830467457
D_Y_15K_V1_NM,structural_propagation,wrong_candidate,1141,0.14533180486562222
D_Y_15K_V1_NM,paris,correct,5789,0.7373582983059482
D_Y_15K_V1_NM,paris,false_on_unmatched,440,0.05604381607438543
D_Y_15K_V1_NM,paris,no_signal,41,0.005222264679658643
D_Y_15K_V1_NM,paris,structurally_unreachable,701,0.08928798879123678
D_Y_15K_V1_NM,paris,no_shared_literal,0,0.0
D_Y_15K_V1_NM,paris,abstained,717,0.09132594573939626
D_Y_15K_V1_NM,paris,wrong_candidate,163,0.0207616864093746
EN_FR_100K_V1_NM,value_overlap,correct,20310,0.3865258349985726
EN_FR_100K_V1_NM,value_overlap,false_on_unmatched,11440,0.217718146350747
EN_FR_100K_V1_NM,value_overlap,no_signal,365,0.006946426872204777
EN_FR_100K_V1_NM,value_overlap,structurally_unreachable,0,0.0
EN_FR_100K_V1_NM,value_overlap,no_shared_literal,14210,0.2704348653535065
EN_FR_100K_V1_NM,value_overlap,abstained,698,0.013283851936435435
EN_FR_100K_V1_NM,value_overlap,wrong_candidate,5522,0.10509087448853363
EN_FR_100K_V1_NM,structural_propagation,correct,15710,0.29898182510229326
EN_FR_100K_V1_NM,structural_propagation,false_on_unmatched,5392,0.10261680464363879
EN_FR_100K_V1_NM,structural_propagation,no_signal,365,0.006946426872204777
EN_FR_100K_V1_NM,structural_propagation,structurally_unreachable,8880,0.1689980017128176
EN_FR_100K_V1_NM,structural_propagation,no_shared_literal,0,0.0
EN_FR_100K_V1_NM,structural_propagation,abstained,15360,0.2923208678275764
EN_FR_100K_V1_NM,structural_propagation,wrong_candidate,6838,0.13013607384146922
EN_FR_100K_V1_NM,paris,correct,32316,0.6150157008278618
EN_FR_100K_V1_NM,paris,false_on_unmatched,3278,0.062384622704348656
EN_FR_100K_V1_NM,paris,no_signal,365,0.006946426872204777
EN_FR_100K_V1_NM,paris,structurally_unreachable,4830,0.09192121039109336
EN_FR_100K_V1_NM,paris,no_shared_literal,0,0.0
EN_FR_100K_V1_NM,paris,abstained,9943,0.1892282805214578
EN_FR_100K_V1_NM,paris,wrong_candidate,1813,0.03450375868303359
